Last Name,First Name,"There are reports that the US strategy in negotiations to end the Russia-Ukraine conflict is prioritizing economic interdependence: https://www.wsj.com/world/russia/russia-u-s-peace-business-ties-4db9b290



Creating expanded mutual business opportunities for American, Russian, and Ukrainian firms would lead to a substantially more stable peace agreement.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Pursuing economic interdependence without complementary diplomacy (including credible guarantees of Ukraine’s future security) is unlikely to end the conflict and subsequently preserve peace.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,4,"Ukraine before the war was an incredibly corrupt business environment. Institutions have only gotten weaker. Postwar reconstruction will be mired by huge corruption and inefficiencies. This plan will exacerbate these, with both US and Russian firms becoming part of corruption",Agree,3,"The resulting corruption and mounting cynicism about US intentions and overall institutional framework will spearhead new conflicts, making durable peace less likely."
Aguiar,Mark,Disagree,7,,Strongly Agree,8,
Altonji,Joseph,Uncertain,1,,Strongly Agree,3,
Auerbach,Alan,Uncertain,5,,Agree,7,
Autor,David,Disagree,7,Much evidence that Putin puts commerce below his greater empire-building goals.,Strongly Agree,10,"Putin has a playbook seen in many other countries. If Ukraine does not have force-backed security guarantees, Russia will continue to aggressively encroach or directly invade again. This is known to everyone involved, except apparently Steve Witkoff."
Banerjee,Abhijit,Uncertain,5,,Agree,5,The two questions differ: the first is conditional on a peace agreement being achieved while the second raises the likelihood that it doesn't happen.There is scope for coordination failures where US investments don't happen because of political risk which then raises the risk 
Bergemann,Dirk,Disagree,7,,Agree,7,
Bertrand,Marianne,Agree,1,,Strongly Agree,7,
Brunnermeier,Markus,Agree,3,,Strongly Agree,7,
Chevalier,Judith,Uncertain,6,,Agree,7,
Cutler,David,Disagree,6,,Agree,5,
Duffie,Darrell,No Opinion,,,Uncertain,1,
Edlin,Aaron,Uncertain,5,,Agree,7,
Eichengreen,Barry,Disagree,5,Existing business and potential business opportunities didn't deter Putin before.  Why should they deter Putin now?,Strongly Agree,5,
Einav,Liran,Uncertain,1,,Agree,1,
Fair,Ray,Agree,5,,Agree,5,
Glaeser,Edward,Uncertain,4,"A stronger American business presence in Ukraine would seem to reduce the likelihood a future Russian attack, but more Russian business presence can also generate more potential casus belli.   ",Agree,8,
Goldberg,Pinelopi,Uncertain,5,,No Opinion,,
Greenstone,Michael,Uncertain,3,,Agree,3,
Hart,Oliver,Agree,6,"Such business opportunities can help but they are not a substitute for a political meeting of the minds. The ""money will solve all problems"" approach that the Trump administration seems to have is destined to fail in my opinion.",Strongly Agree,9,
Hoxby,Caroline,Disagree,10,,Agree,6,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Hurst,Erik,Uncertain,1,,Agree,1,
Judd,Kenneth,Strongly Disagree,10,"This is a war. Russia invaded Ukraine which is now trying to preserve its freedom. Tojo and Hitler would have laughed if FDR and Churchill approached them with ideas like this. Putin is laughing now while he is killing Ukrainians, which he thinks will help him get a better deal.",Strongly Agree,10,"To preserve peace we defeat the aggressors and help their victims defend the peace. This was the lesson of WWII and the Cold War. Trump wants to do business with Putin, and will sacrifice Ukraine if he benefits. This cannot be allowed to happen."
Kaplan,Steven,Uncertain,1,,Uncertain,1,
Kashyap,Anil,Uncertain,3,"Far from my expertise, but substantial is a high bar -- it should help on the margin, but Russia blew up its economic ties with Germany and other western countries with the invasion.  ",No Opinion,,I am not qualified to know about what standard for the diplomacy would be needed. 
Klenow,Pete,Disagree,2,,Strongly Agree,2,
Levin,Jonathan,Agree,4,,Agree,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Disagree,2,,Agree,5,
Obstfeld,Maurice,Uncertain,3,,Strongly Agree,4,
Pathak,Parag,Uncertain,1,,Agree,1,
Samuelson,Larry,Agree,8,,Strongly Agree,10,It is not credible that business deals alone will solve the conflict.  
Scheinkman,José,Disagree,7,,Agree,7,
Schmalensee,Richard,Disagree,4,"Might help a little, but not substantially.",Strongly Agree,6,
Scott Morton,Fiona,Disagree,7,,Strongly Agree,10,
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Agree,5,,Agree,5,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,
Stock,James,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Uncertain,3,,Agree,4,
Syverson,Chad,Strongly Disagree,6,Dear Lord,Strongly Agree,8,
Thaler,Richard,Uncertain,1,"To state the obvious, Trump and Putin are not trustworthy partners. ",Strongly Agree,3,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,
Werning,Ivan,Did Not Answer,,,Did Not Answer,,
