Last Name,First Name,"The 9% cumulative increase in real US median household income since 1980 substantially understates how much better off people in the median American household are now economically, compared with 35 years ago.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,8,But the same is true for the pre-1980 growth. So this number does NOT understate that growth of median income has declined after mid-1970s.
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,5,"Over the 1980-2014 period CPI probably does not fully account for quality improvements or for the value of new goods (e.g., the smartphone.)"
Auerbach,Alan,Agree,5,
Autor,David,Agree,5,"I think it's more likely than not given secular improvements in healthcare, longevity, technology, and air quality. "
Baicker,Katherine,Agree,2,
Banerjee,Abhijit,Uncertain,8,There are gains in health etc. not measured in earnings but also psychological costs of growing inequality and a sense of disappointment. 
Bertrand,Marianne,Disagree,5,
Brunnermeier,Markus,Strongly Agree,9,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Uncertain,5,"Have to factor in changes in transfers, changes in household size, changes in labor force participation and CPI bias. "
Cutler,David,Agree,7,
Deaton,Angus,Agree,2,"Likely true, but it not hard to construct arguments that contradict it. For many groups, health is getting worse. "
Duffie,Darrell,Disagree,3,
Edlin,Aaron,Uncertain,7,"Other relevant factors would be:  time spent commuting, increase in % of 25-53 employed, hours worked, hours connected to work email at home"
Eichengreen,Barry,Uncertain,5,"""Understates"" yes, ""substantially"" I revert to uncertain."
Einav,Liran,Agree,5,
Fair,Ray,Uncertain,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Agree,6,
Goolsbee,Austan,Strongly Agree,7,so much of our day is spent doing things that didn't exist back then that it's hard to believe the #s fully account for new products
Greenstone,Michael,Uncertain,3,"CPI bias is important even w that in mind, 9% seems a small gain over 35 years  & i THINK median family is working many more hours"
Hall,Robert,Disagree,3,Lots of real growth in the top deciles and the bottom deciles. Not so clear at the median. 
Hart,Oliver,Uncertain,5,"Iphones weren't available then suggesting understatement. But both partners often work, which is stressful. This suggests overstatement."
Holmström,Bengt,Agree,5,"Depends how ""better off"" defined. Technology (eg smartphones), medical services,  lower crime, etc have increased quality of life broadly. "
Hoxby,Caroline,Strongly Agree,10,
Hoynes,Hilary,Disagree,9,
Judd,Kenneth,Agree,7,
Kaplan,Steven,Agree,8,
Kashyap,Anil,Agree,7,"No one I know would rather face the 1980 bundle of goods (at 1980 prices) than current bundle, at anywhere near the same incomes. "
Klenow,Pete,Agree,10,The rise in life expectancy alone is worth on the order of 1% per year.
Levin,Jonathan,Agree,4,"Difficult question, but life expectancy is up from 74 to 79 years - seems like a substantial gain not reflected in real median income."
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Agree,9,"Due to measurement issues e.g. prices, family composition, measures of income, prob understates by >1% py. Add to that price quality bias."
Saez,Emmanuel,Uncertain,9,
Samuelson,Larry,Agree,8,"Yes, because it misses many innovations, but at the same time the upper end of the income distribution is extraordinarily better off.  "
Scheinkman,José,Agree,3,"Burkhauser et al. (2011) show faster growth in median post-tax, post-transfer size-adjusted household income including health ins. benefits."
Schmalensee,Richard,Agree,7,The official indices and deflators undervalue quality change and new goods.  A small annual bias makes a big difference over 30+ years.
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Agree,8,"CPI has improved but is imperfect. Capital income matters, especially for retirees.  Mean household size has shrunk from around 3.3 to 2.6."
Thaler,Richard,Uncertain,1,Define substantial. Agree that CPI overstates inflation.
Udry,Christopher,Agree,7,
