Last Name,First Name,Nippon Steel’s proposed acquisition of US Steel would lead to substantially less employment in the US steel industry than in the absence of such a deal.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Nippon Steel’s proposed acquisition of US Steel would cause no measurable damage to the American economy.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Disagree,3,,Agree,3,
Auerbach,Alan,Disagree,5,,Agree,5,
Autor,David,Strongly Disagree,6,"US Steel is a moribund enterprise. Absent Japanese investment, it will likely continue to whither on the vine--like Chrysler or Sears. Nippon Steel's investment might give it a new lease on life and hence preserve employment. ",Strongly Agree,8,"US Steel is in bad shape. It's failure would be bad for the US Economy. Japanese investment, modernization, and management would be strategically valuable. "
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Disagree,1,,Agree,1,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,5,"The counterfactual here is tricky- the domestic acquirer, independent status?",Agree,3,
Cutler,David,Disagree,5,,Agree,4,
Duffie,Darrell,Uncertain,1,,Uncertain,1,
Edlin,Aaron,Agree,3,Nippon may however agree to maintain us employment levels. ,Agree,3,
Eichengreen,Barry,Uncertain,5,,Agree,5,
Einav,Liran,No Opinion,,,No Opinion,,
Fair,Ray,Disagree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Uncertain,1,i think impossible to answer without clarity on counterfactual-- would US Steel remain independent or be purchased by someone else (domestic or foreign),Agree,7,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Disagree,5,,Agree,5,
Holmström,Bengt,Uncertain,5,,Agree,5,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,8,,Uncertain,8,
Judd,Kenneth,Disagree,5,Nippon does not have substantial production capacity in the US. This makes it easier for Nippon to supply customers and deploy its technology.,Agree,7,This does not lead to monopolization of steel industry. Unclear why a merger between a Japanese and American firm would hurt US economy.
Kaplan,Steven,Disagree,9,More likely to lead to more employment.,Strongly Agree,8,More likely to be a positive.
Kashyap,Anil,Disagree,5,,Agree,7,
Klenow,Pete,Disagree,4,,Agree,5,
Levin,Jonathan,Uncertain,4,,Uncertain,3,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Uncertain,3,,Agree,3,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Disagree,6,"It is not clear why the new owners would operate at a smaller scale then the current owners.
",Agree,6,
Scheinkman,José,Disagree,6,,Strongly Disagree,7,
Schmalensee,Richard,Disagree,3,,Agree,4,
Shapiro,Carl,Uncertain,3,,Uncertain,3,
Shimer,Robert,Disagree,8,,Agree,8,
Stock,James,Disagree,4,,Agree,4,
Thaler,Richard,Uncertain,1,Nippon has not shared its plans with me. ,Agree,3,Hard to see why a change of ownership of one firm could do that much damage to the entire economy. 
Udry,Christopher,Disagree,6,,Agree,6,
