Last Name,First Name,"Declining to be vaccinated against contagious diseases such as measles imposes costs on other people, which is a negative externality.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Considering the costs of restricting free choice, and the share of people in the US who choose not to vaccinate their children for measles, the social benefit of mandating measles vaccines for all Americans (except those with compelling medical reasons) would exceed the social cost.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,8,,Disagree,9,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Strongly Agree,10,,Strongly Agree,8,
Auerbach,Alan,Strongly Agree,10,,Agree,5,
Autor,David,Strongly Agree,10,,Disagree,6,
Baicker,Katherine,Strongly Agree,5,,Agree,4,
Banerjee,Abhijit,Strongly Agree,8,,Strongly Agree,8,New infections keep coming in as people travel. Why allow parents to hurt their children
Bertrand,Marianne,Strongly Agree,8,,Strongly Agree,4,
Brunnermeier,Markus,Strongly Agree,9,,Agree,4,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Strongly Agree,8,,Agree,5,I am not qualified to opine on any specific disease but in general mandatory vaccine programs solve the free rider issue. 
Cutler,David,Strongly Agree,10,,Agree,7,
Deaton,Angus,Strongly Agree,10,"The vaccine is not infallible, and some people cannot be covered.",Strongly Agree,10,
Duffie,Darrell,Strongly Agree,10,"The word "" contagion"" and the adverse consequence of disease directly imply the  result, logically. ",Agree,3,"Strictly speaking, social choice in this setting is not obvious. Here, many benefit significantly at hopefully a small cost by fewer.  "
Edlin,Aaron,Strongly Agree,10,Even those vaccinated can get the disease so there is an external cost both to the vaccinated and the non vaccinated. ,Strongly Agree,9,
Eichengreen,Barry,Agree,5,,Agree,5,
Einav,Liran,Strongly Agree,9,,Agree,8,
Fair,Ray,Strongly Agree,10,,Strongly Agree,10,
Finkelstein,Amy,Strongly Agree,10,,Strongly Agree,7,
Goldberg,Pinelopi,Strongly Agree,8,,Agree,8,
Goolsbee,Austan,Strongly Agree,10,,Strongly Agree,10,
Greenstone,Michael,Strongly Agree,7,,Agree,4,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Strongly Agree,10,The science seems absolutely clear. If you are not vaccincated others are more likely to catch the disease ( as well as you).,Strongly Agree,10,Another way to internalize the externality is to make those who don't get vaccinated pay a fine. But a mandate is adminstratively easier.
Holmström,Bengt,Strongly Agree,8,,Strongly Agree,8,
Hoxby,Caroline,Strongly Agree,10,"This is ""first principles"" in economics.",No Opinion,,This question requires one to impose a social welfare function which is something an economist should NEVER do. No one made us God.
Hoynes,Hilary,Strongly Agree,9,,Agree,9,
Judd,Kenneth,Strongly Agree,8,,Agree,8,
Kaplan,Steven,Strongly Agree,10,,Strongly Agree,9,
Kashyap,Anil,Strongly Agree,7,Costs grow as the number declining rises which the doubters do not seem to appreciate,Agree,3,"Measels had been eliminated, it is a shame that it is back.  But we should be careful about mandates in general. "
Klenow,Pete,Strongly Agree,10,,Agree,5,
Levin,Jonathan,Agree,5,,Uncertain,1,
Maskin,Eric,Agree,9,,Agree,7,
Nordhaus,William,Strongly Agree,9,,Uncertain,9,"Goes beyond economics. Many precedents on each side. If measles for children, why not mandatory flu vaccines for adults?"
Saez,Emmanuel,Strongly Agree,9,,Agree,8,
Samuelson,Larry,Strongly Agree,10,,Agree,6,"But it would be quite reasonable to limit the negative externality imposed by the unvaccinated by, e.g., excluding them from public schools."
Scheinkman,José,Strongly Agree,9,,Strongly Agree,6,
Schmalensee,Richard,Strongly Agree,9,,Agree,7,Children are not choosing for themselves here; this would just add to the set of harmful choices that parents are not allowed to make.
Shapiro,Carl,Strongly Agree,10,,Strongly Agree,8,
Shimer,Robert,Strongly Agree,10,,Uncertain,1,
Thaler,Richard,Strongly Agree,10,This is one of the periodic questions designed to see whether respondents are awake.  True by definition.,Uncertain,1,Costs increase with the opt out rate.  It would be possible to increase the vaccination rate short of a mandate by making opting out harder.
Udry,Christopher,Strongly Agree,10,,Agree,4,Depends on the epidemiology of measles which I don't know (as well as the (low) cost of mandates and (high) cost of the disease). 
