Last Name,First Name,The US intervention in Venezuela will have no measurable impact on the world oil price over the next 12 months.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in the profitability of US energy companies over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in economic growth in Venezuela over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,4,"This intervention, which breaks all international laws and norms, will usher a period of huge uncertainty in global relations, so impossible to say with any uncertainty",Uncertain,4,,Uncertain,4,
Aguiar,Mark,Disagree,5,,Uncertain,2,,Uncertain,2,
Altonji,Joseph,Agree,3,Venezuela's current output is only about 1% of global supply. Substantially increasing this will require big investments and time.,Uncertain,3,,Uncertain,3,
Auerbach,Alan,Uncertain,3,,Disagree,3,,Uncertain,3,
Autor,David,No Opinion,,,Uncertain,5,,Agree,7,It's hard not to improve on the Maduro trajectory.  
Banerjee,Abhijit,Uncertain,5,,Uncertain,5,,Disagree,5,
Bergemann,Dirk,Disagree,7,,Uncertain,6,,Uncertain,6,
Bertrand,Marianne,Agree,3,,Disagree,3,,Uncertain,10,
Brunnermeier,Markus,Uncertain,6,,Uncertain,6,,Uncertain,7,
Chevalier,Judith,Agree,5,,Uncertain,7,,Uncertain,6,
Cutler,David,Agree,5,,Agree,5,,Disagree,5,
Duffie,Darrell,Uncertain,1,,Uncertain,1,,Uncertain,1,
Edlin,Aaron,Uncertain,4,Supply may go up or down. We shall see. ,Uncertain,2,Outcome very uncertain. ,Uncertain,1,
Eichengreen,Barry,Agree,5,,Disagree,5,,Uncertain,5,
Einav,Liran,Uncertain,1,,Uncertain,1,,Uncertain,1,
Fair,Ray,Uncertain,5,,Uncertain,1,,Uncertain,1,
Glaeser,Edward,Uncertain,2,,Disagree,4,,Uncertain,3,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Strongly Agree,7,,Uncertain,4,,Uncertain,3,
Hart,Oliver,Uncertain,5,,Disagree,5,,Uncertain,5,
Hoxby,Caroline,Strongly Agree,10,"I worked for the Chief Economist and other leaders at the firm then known as Standard Oil and now known as British Petroleum. Thus, I know a great deal about oil/gas markets, and I am confident in my analysis.",Strongly Disagree,10,,Disagree,3,
Hoynes,Hilary,Agree,8,,Uncertain,8,,Uncertain,8,
Hurst,Erik,Uncertain,7,,Uncertain,6,,Uncertain,7,
Judd,Kenneth,Agree,6,Not possible to get production up much within a year.,Agree,3,"Venezuelan crude is a good fit for many American refineries, and will lead to higher profits from refining.",Uncertain,7,"Trump cares only about oil, not democracy. He might leave the Chavistas in power to get US access to oil, and pull back on attacking the drug lords. That could be good for their economy. Otherwise there could be a civil war."
Kaplan,Steven,Agree,4,,Disagree,5,,Agree,3,
Kashyap,Anil,Agree,5,So many logistical entanglements to get the oil released.  If the CEO of a major oil company says the country is uninvestible that says it all,Uncertain,5,There are too many scenarios to have confidence.  Just sorting out legacy claims will be hard.  Plus if world prices eventually do fall that could go in the other direction. ,Uncertain,5,There are good and bad scenarios and it is too early to say which will prevail.  
Klenow,Pete,Agree,5,Not according to the price of oil futures.,Strongly Disagree,5,,Uncertain,5,"I hope so, but too soon to tell."
Levin,Jonathan,Uncertain,4,,Uncertain,4,,Agree,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Disagree,8,,Disagree,4,,No Opinion,,
