Last Name,First Name,Senator Warren’s proposed wealth tax would be much more difficult to enforce than existing federal taxes because of difficulties of valuation and the ways by which the wealthy can under-report their true wealth.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"If successfully enforced, Senator Warren’s proposed wealth tax would substantially decrease the share of wealth going to the top 0.1% of wealth-holders after 20 years.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,A public policy goal that could be accomplished with a well-enforced wealth tax could be equally...,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,4,"Taxing capital income at the same rate as labor income would be simpler, more effective and much less difficult to implement.",Uncertain,2,"""successful enforcement"" is very difficult to define and achieve. Hence uncertain.",Agree,6,What would be most successful would be a combination of relatively high estate taxes combined with taxes on capital income.,,,,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Uncertain,7,,Disagree,6,,Strongly Agree,8,,,,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,7,,Agree,5,,Strongly Agree,7,,,,,,,,,,,,,,,,,,,,,,,
Autor,David,Agree,5,,Disagree,5,,Agree,5,,,,,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Agree,3,,Uncertain,3,,Agree,3,,,,,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Uncertain,6,"It will be more difficult to implement, but much more? There will be a one-time investment in learning, closing loopholes.",Agree,7,,Disagree,7,,,,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Disagree,4,,Agree,4,,Disagree,1,,,,,,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,3,,Uncertain,3,,Agree,5,,,,,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,5,There are challenges. Not clear that they would be greater than for the estate tax. ,Strongly Agree,7,,Agree,9,"To use only income and capital gains taxes, a key policy lever would be eliminating the capital gains basis step up at death. ",,,,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,1,,Uncertain,1,,Disagree,1,,,,,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,7,,Strongly Agree,7,,Disagree,5,,,,,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,1,The experience in France is apparently that this is a difficult form of tax to implement. ,Agree,1,"Conditional on successful enforcement, a simple calculation shows a substantial impact, assuming the revenues are redistributed naturally. ",Uncertain,1,,,,,,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Disagree,5,"One way to avoid under reporting with some assets is to allow anyone to buy at declared  valuations. Another is large penalties. 
",Agree,3,,Disagree,6,,,,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,5,,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,,,,,,
Einav,Liran,Agree,1,,Uncertain,1,,Disagree,1,,,,,,,,,,,,,,,,,,,,,,,
Fair,Ray,Strongly Agree,5,,Uncertain,5,,Strongly Agree,5,,,,,,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,10,,Strongly Agree,9,"Just go make a spreadsheet, plug in numbers and compound it",Agree,6,Mostly but with some moderate differences.,,,,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Strongly Agree,5,,Agree,2,i assume the question refers to pre-tax income.....,Strongly Agree,4,a reform of existing taxes to match wealth tax however would need to do something about the stepping up of cost basis for estate taxes,,,,,,,,,,,,,,,,,,,,,,
Hall,Robert,Agree,5,,Uncertain,7,,Agree,8,We should focus on a progressive consumption tax structured as a value-added tax.,,,,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,5,,Agree,5,,Uncertain,3,,,,,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Strongly Agree,10,,No Opinion,,"Bad Question! The condition ""if successfully enforced"" makes no sense given that wealth among the very top is inherently hard to tax.",Agree,6,"Another bad question. This is a classic topic in fundamental tax reform, about which (I suspect) few Panel members have expertise.",,,,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Agree,7,,Agree,7,,Disagree,7,,,,,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,8,,Agree,8,,Agree,8,,,,,,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Strongly Agree,10," Where they have been tried, wealth taxes have not been successful.",Strongly Disagree,10,Pre-tax wealth inequality is driven by technology and globalization.  Wealth taxes do not change those two forces.,Uncertain,1,,,,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,9,"Paintings, private businesses, long held property without obvious comparables in multiple locations -- all hard to value. ",Agree,1,"Given that countries like France abandoned it makes me think this is unachievable, so this is like ""assume a can opener"" on a desert island",No Opinion,,,,,,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,3,,Agree,4,,Disagree,3,,,,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Uncertain,3,"It would be difficult, but other parts of the tax code are also very complex to enforce. ",Agree,4,,Uncertain,3,"Could be done with a capital gains tax, if assessed every year, rather than at time of sale. ",,,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Strongly Agree,8,,Agree,6,"Depends on design and enforcement. US has poor record at enforcing tax laws, particularly for non-wage income, so much uncertainty here.",Agree,9,"Start with enforcing the current laws. This would be highly progressive move and should be at top of tax agenda, way at top.",,,,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Disagree,10,"Enforcement success depends on resources devoted to set up a systematic way to measure wealth: information sharing, norms for valuations etc",Agree,10,Wealth tax mechanically reduces returns to wealth at the top. Behavioral responses likely to magnify the effect. Effect builds up over time,Disagree,10,Estate and realized capital gains taxes come decades after wealth accumulation => wealth tax is a useful withholding tax back stop ,,,,,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,8,Wealth is notoriously difficult to tax.  Enforcement problems are compounded by the distortions induced by legal tax evasion.,Agree,8,"If successful, taxation at rates of two or three percent, compounded over twenty years, would significantly diminish the taxed wealth.",Agree,8,,,,,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Agree,6,Although estimates of compliance vary across countries.,No Opinion,,,Uncertain,6,,,,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Strongly Agree,7,,Agree,4,,Uncertain,8,"Too broad. True of some goals, but not all plausible ones.  Capital gains taxes and wealth taxes have a number of different effects.    ",,,,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Agree,7,Question is unclear -- which existing federal taxes? Estate tax seems most relevant.  ,Agree,2,Depends a lot on enforcement.,Uncertain,2,"Depends a lot on how effective those other taxes are, plus and they are not quite the same. ",,,,,,,,,,,,,,,,,,,,,,
Shimer,Robert,Agree,5,"Similar difficulty to the estate tax, except it has to be assessed on everyone.",Agree,5,"It would also lead to much of the wealth moving offshore, despite provisions against that",Agree,5,"This is similar to the estate tax, although the timing is different.",,,,,,,,,,,,,,,,,,,,,,
Stock,James,Agree,3,,Uncertain,3,,Disagree,3,,,,,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,1,"Don't like the Q. Define ""much"". And the main reason I think this is harder is that it would be annual. Also unclear who has to file.",Uncertain,1,"I don't know how we get to ""successfully enforced"". We can't collect the estate tax, why would we be able to enforce this?",Agree,1,"Yes, the estate tax is a sieve. Start with that? Get rid of step up to begin with. ",,,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Agree,6,Much more difficult than income taxes. The transition to appropriate reporting and record keeping for a wealth tax difficult but feasible.,Strongly Agree,9,,Disagree,4,"Unless the changes in capital gains and inheritance taxes were radical, they can't match the time path of the wealth tax. ",,,,,,,,,,,,,,,,,,,,,,
