table_name,column_name,definition,data_type,allowed_values,notes
statements,statement_id,Stable unique identifier for a poll statement.,string,,
statements,poll_id,Stable unique identifier for the poll page.,string,,
statements,poll_title,Title of the poll page.,string,,
statements,poll_url,Clark Center poll URL.,string,,
statements,panel_type,Expert panel shown on the source page.,string,US; Europe; Finance,
statements,publication_date,Publication date parsed from the poll page.,date,YYYY-MM-DD,
statements,topic_or_category,Source topic/category names when available.,string,,Semicolon-separated.
statements,question_label,Question label from the source page.,string,Question A; Question B; ...,
statements,statement_text,Full statement text for the question.,string,,
statements,poll_context,"Context shown before the poll statements, if any.",string,,
statements,n_respondents,Number of vote rows extracted for the statement.,integer,,
statements,n_answered_excluding_no_opinion,Count of standard agree/disagree/uncertain answers excluding No Opinion and missing.,integer,,
statements,n_strongly_agree,Unweighted count of Strongly Agree votes.,integer,,
statements,n_agree,Unweighted count of Agree votes.,integer,,
statements,n_uncertain,Unweighted count of Uncertain votes.,integer,,
statements,n_disagree,Unweighted count of Disagree votes.,integer,,
statements,n_strongly_disagree,Unweighted count of Strongly Disagree votes.,integer,,
statements,n_no_opinion,Unweighted count of No Opinion votes.,integer,,
statements,n_missing_or_did_not_answer,Unweighted count of missing or Did Not Answer responses.,integer,,
statements,share_agree,(Strongly Agree + Agree) / answered excluding No Opinion and missing.,number,0-1,
statements,share_disagree,(Disagree + Strongly Disagree) / answered excluding No Opinion and missing.,number,0-1,
statements,share_uncertain,Uncertain / answered excluding No Opinion and missing.,number,0-1,
statements,net_agreement,share_agree minus share_disagree.,number,-1 to 1,
statements,majority_position,Largest category when it reaches at least 0.50.,string,Agree; Disagree; Uncertain; No clear majority,
statements,consensus_level,Consensus bucket derived from unweighted shares.,string,Strong consensus agree; Moderate consensus agree; Split / disagreement; Moderate consensus disagree; Strong consensus disagree; Uncertain consensus,
statements,polarization_score,"min(share_agree, share_disagree).",number,0-0.5,
statements,source_csv_url,Official Download Poll Data CSV URL when available.,string,,
statements,extraction_method,Primary extraction method used for this statement.,string,csv; html; mixed,mixed means CSV votes plus HTML metadata/weighted chart/profile links.
statements,extraction_notes,Statement-level extraction notes.,string,,
statements,issue_categories,Issue categories assigned to the statement.,string,,Semicolon-separated; see allowed category list in methodology.
statements,category_source,How issue_categories were assigned.,string,source; model_assigned; mixed,
statements,category_confidence,Extractor confidence in category assignment.,number,0-1,
statements,weighted_share_strongly_agree,"Confidence-weighted Strongly Agree share from source chart, when available.",number,0-1,This is separate from unweighted counts.
statements,weighted_share_agree_only,"Confidence-weighted Agree-only share from source chart, when available.",number,0-1,
statements,weighted_share_uncertain,"Confidence-weighted Uncertain share from source chart, when available.",number,0-1,
statements,weighted_share_disagree_only,"Confidence-weighted Disagree-only share from source chart, when available.",number,0-1,
statements,weighted_share_strongly_disagree,"Confidence-weighted Strongly Disagree share from source chart, when available.",number,0-1,
statements,weighted_share_agree,Confidence-weighted Strongly Agree plus Agree share.,number,0-1,
statements,weighted_share_disagree,Confidence-weighted Disagree plus Strongly Disagree share.,number,0-1,
statements,weighted_net_agreement,weighted_share_agree minus weighted_share_disagree.,number,-1 to 1,
statements,weighted_polarization_score,"min(weighted_share_agree, weighted_share_disagree).",number,0-0.5,
votes,vote_id,Stable unique identifier for an economist-statement vote.,string,,
votes,statement_id,Foreign key to statements.statement_id.,string,,
votes,poll_id,Foreign key to poll page.,string,,
votes,poll_title,Title of the poll page.,string,,
votes,poll_url,Clark Center poll URL.,string,,
votes,panel_type,Expert panel shown on the source page.,string,US; Europe; Finance,
votes,publication_date,Publication date parsed from the poll page.,date,YYYY-MM-DD,
votes,question_label,Question label from the source page.,string,Question A; Question B; ...,
votes,statement_text,Full statement text for the question.,string,,
votes,economist_name,Economist or panelist name.,string,,
votes,economist_affiliation,University or institutional affiliation from source HTML when available.,string,,
votes,economist_profile_url,Bio/Vote History URL from source HTML when available.,string,,
votes,vote_raw,Original vote exactly as extracted from the preferred source.,string,,Official CSV labels are preserved where CSV is available.
votes,vote_normalized,Vote mapped to the requested normalized categories.,string,Strongly Agree; Agree; Uncertain; Disagree; Strongly Disagree; No Opinion; Did Not Answer / Missing; Other / Not Applicable,Numeric 0-5 survey-special ratings map to Other / Not Applicable.
votes,confidence_raw,Confidence value exactly as extracted.,string,,
votes,confidence_numeric,Numeric confidence when parseable.,number,,
votes,comment,Economist comment from source.,string,,
votes,cited_resource_or_link,"Background/resource link included in the visible comment row, if any.",string,,Semicolon-separated.
votes,source_csv_url,Official Download Poll Data CSV URL when available.,string,,
votes,extraction_method,Primary extraction method used for this vote.,string,csv; html; mixed,
votes,extraction_notes,Vote-level extraction notes.,string,,
source_log,timestamp_utc,UTC time when the source was requested.,datetime,ISO 8601,
source_log,resource_type,Type of source resource.,string,robots; sitemap; api; page; csv,
source_log,url,URL fetched.,string,,
source_log,status_code,"HTTP status code, `cache` for cache reuse, or blank if the request failed before a response.",integer/string,,
source_log,bytes_downloaded,Number of response bytes downloaded.,integer,,
source_log,local_path,Path of cached raw response.,string,,
source_log,notes,Fetch notes or error text.,string,,
failed_or_ambiguous_pages,poll_url,Poll URL with a failure or ambiguity.,string,,
failed_or_ambiguous_pages,poll_id,Poll ID when known.,string,,
failed_or_ambiguous_pages,issue_type,Failure or ambiguity type.,string,,
failed_or_ambiguous_pages,details,Human-readable details.,string,,
