statement_id,poll_id,poll_title,poll_url,panel_type,publication_date,topic_or_category,question_label,statement_text,poll_context,n_respondents,n_answered_excluding_no_opinion,n_strongly_agree,n_agree,n_uncertain,n_disagree,n_strongly_disagree,n_no_opinion,n_missing_or_did_not_answer,share_agree,share_disagree,share_uncertain,net_agreement,majority_position,consensus_level,polarization_score,source_csv_url,extraction_method,extraction_notes,issue_categories,category_source,category_confidence,weighted_share_strongly_agree,weighted_share_agree_only,weighted_share_uncertain,weighted_share_disagree_only,weighted_share_strongly_disagree,weighted_share_agree,weighted_share_disagree,weighted_net_agreement,weighted_polarization_score,consensus_direction,consensus_score,consensus_bucket,confidence_weighted_direction,confidence_weighted_score,confidence_weighted_bucket,confidence_weighted_shift,consensus_percentile,share_agree_percentile,confidence_weighted_consensus_percentile,confidence_weighted_share_agree_percentile
europe-board-quotas-for-women__question-a,europe__board-quotas-for-women,Board Quotas for Women,https://kentclarkcenter.org/surveys/board-quotas-for-women/,Europe,2017-11-28,"Business, Management, & Corporate Performance; Demographics, Aging, & Gender",Question A,"All else equal, if corporations throughout Europe set quotas for a minimum number of women board members, the shareholder value of European companies would increase.",,49,39,0,12,20,6,1,1,9,0.307692,0.179487,0.512821,0.128205,Uncertain,Split / disagreement,0.179487,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-11-28-Euro-EEP-Board-Quotas-for-Women.csv,mixed,,Labor markets; Inequality/redistribution,source,0.90,0.000000,0.350000,0.480000,0.130000,0.040000,0.350000,0.170000,0.180000,0.170000,Uncertain,0.205129,Weak consensus,Uncertain,0.130000,No clear consensus,no,30.38,25.69,17.56,26.47
europe-board-quotas-for-women__question-b,europe__board-quotas-for-women,Board Quotas for Women,https://kentclarkcenter.org/surveys/board-quotas-for-women/,Europe,2017-11-28,"Business, Management, & Corporate Performance; Demographics, Aging, & Gender",Question B,"Taking into account the likely effects on investments in human capital by men and women, setting quotas throughout Europe for a minimum number of women board members would generate substantial net benefits for Europeans.",,49,40,4,20,12,4,0,0,9,0.600000,0.100000,0.300000,0.500000,Agree,Split / disagreement,0.100000,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-11-28-Euro-EEP-Board-Quotas-for-Women.csv,mixed,,Labor markets; Inequality/redistribution,source,0.90,0.180000,0.500000,0.250000,0.070000,0.000000,0.680000,0.070000,0.610000,0.070000,Agree,0.300000,Weak consensus,Agree,0.430000,Moderate consensus,no,40.75,52.73,46.61,55.84
europe-china-europe-trade__question-a,europe__china-europe-trade,China-Europe Trade,https://kentclarkcenter.org/surveys/china-europe-trade/,Europe,2018-04-12,International Trade & Exchange Rates; Social Policy & Society,Question A,"Trade with China makes most Europeans better off because, among other advantages, they can buy goods that are made or assembled more cheaply in China.",,48,39,19,19,1,0,0,0,9,0.974359,0.000000,0.025641,0.974359,Agree,Strong consensus agree,0.000000,https://kentclarkcenter.org/wp-content/uploads/2020/09/2018-04-12-Euro-EEP-China-Europe-Trade.csv,mixed,,Trade; International economics; Political economy,source,0.90,0.540000,0.450000,0.010000,0.000000,0.000000,0.990000,0.000000,0.990000,0.000000,Agree,0.948718,Strong consensus,Agree,0.980000,Strong consensus,no,94.19,94.82,95.19,95.72
europe-china-europe-trade__question-b,europe__china-europe-trade,China-Europe Trade,https://kentclarkcenter.org/surveys/china-europe-trade/,Europe,2018-04-12,International Trade & Exchange Rates; Social Policy & Society,Question B,"Some Europeans who work in the production of competing goods, such as clothing and furniture, are made worse off by trade with China.",,48,39,6,27,6,0,0,0,9,0.846154,0.000000,0.153846,0.846154,Agree,Strong consensus agree,0.000000,https://kentclarkcenter.org/wp-content/uploads/2020/09/2018-04-12-Euro-EEP-China-Europe-Trade.csv,mixed,,Trade; International economics; Political economy,source,0.90,0.180000,0.700000,0.120000,0.000000,0.000000,0.880000,0.000000,0.880000,0.000000,Agree,0.692308,Strong consensus,Agree,0.760000,Strong consensus,no,73.10,77.57,72.82,77.41
europe-china-europe-trade__question-c,europe__china-europe-trade,China-Europe Trade,https://kentclarkcenter.org/surveys/china-europe-trade/,Europe,2018-04-12,International Trade & Exchange Rates; Social Policy & Society,Question C,"If the EU followed the new US steel tariffs by imposing similar EU tariffs on steel from China, it would improve Europeans’ welfare.",,48,39,0,0,3,19,17,0,9,0.000000,0.923077,0.076923,-0.923077,Disagree,Strong consensus disagree,0.000000,https://kentclarkcenter.org/wp-content/uploads/2020/09/2018-04-12-Euro-EEP-China-Europe-Trade.csv,mixed,,Trade; International economics; Political economy,source,0.90,0.000000,0.000000,0.060000,0.410000,0.520000,0.000000,0.930000,-0.930000,0.000000,Disagree,0.846154,Strong consensus,Disagree,0.870000,Strong consensus,no,86.06,1.39,83.82,1.34
europe-corporate-tax-rate-harmonization__question-a,europe__corporate-tax-rate-harmonization,Corporate Tax-Rate Harmonization,https://kentclarkcenter.org/surveys/corporate-tax-rate-harmonization/,Europe,2017-12-20,"Business, Management, & Corporate Performance; Taxes & Public Spending",Question A,"Holding other policies fixed, the average European would be better off if every European country taxed corporate profits at a rate of 20% (based as closely as possible on a common definition of profits).",,49,26,2,17,3,4,0,0,23,0.730769,0.153846,0.115385,0.576923,Agree,Moderate consensus agree,0.153846,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-12-20-Euro-EEP-Corporate-Tax-Rate-Harmonization.csv,mixed,,Taxation; Fiscal policy; Public finance,source,0.90,0.110000,0.600000,0.120000,0.180000,0.000000,0.710000,0.180000,0.530000,0.180000,Agree,0.576923,Moderate consensus,Agree,0.530000,Moderate consensus,no,64.39,65.06,54.41,58.47
europe-corporate-tax-rate-harmonization__question-b,europe__corporate-tax-rate-harmonization,Corporate Tax-Rate Harmonization,https://kentclarkcenter.org/surveys/corporate-tax-rate-harmonization/,Europe,2017-12-20,"Business, Management, & Corporate Performance; Taxes & Public Spending",Question B,"If other policies were held fixed and every European country taxed corporate profits at a common rate of 20%, then reducing that common rate substantially below 20% would make the average European better off.",,49,26,0,2,8,14,2,0,23,0.076923,0.615385,0.307692,-0.538462,Disagree,Split / disagreement,0.076923,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-12-20-Euro-EEP-Corporate-Tax-Rate-Harmonization.csv,mixed,,Taxation; Fiscal policy; Public finance,source,0.90,0.000000,0.080000,0.310000,0.560000,0.060000,0.080000,0.620000,-0.540000,0.080000,Disagree,0.307693,Weak consensus,Disagree,0.310000,Weak consensus,no,41.69,7.69,36.27,7.98
europe-digital-sales-tax__question-a,europe__digital-sales-tax,Digital Sales Tax,https://kentclarkcenter.org/surveys/digital-sales-tax/,Europe,2018-05-31,"Science, Technology, & Innovation; Taxes & Public Spending",Question A,"The European Commission has proposed new rules to ensure that “digital business activities are taxed in a fair and growth-friendly way in the EU”. Consider two statements regarding this proposal: An EU-wide 3% tax on revenue from digital activities would, on balance, be a good idea.",,48,29,2,12,11,3,1,6,13,0.482759,0.137931,0.379310,0.344828,No clear majority,Split / disagreement,0.137931,https://kentclarkcenter.org/wp-content/uploads/2020/09/2018-05-30-Euro-EEP-Digital-Sales-Tax.csv,mixed,,Growth/productivity; Industrial policy; Taxation; Fiscal policy; Public finance,source,0.90,0.090000,0.440000,0.300000,0.120000,0.050000,0.530000,0.170000,0.360000,0.170000,Agree,0.103449,No clear consensus,Agree,0.230000,Weak consensus,no,15.64,40.88,29.32,41.76
europe-digital-sales-tax__question-b,europe__digital-sales-tax,Digital Sales Tax,https://kentclarkcenter.org/surveys/digital-sales-tax/,Europe,2018-05-31,"Science, Technology, & Innovation; Taxes & Public Spending",Question B,"If the EU decides to tax digital service providers, it would be better — given the difficulties of measuring and verifying digital activity — to tax them on the revenue, rather than the profits, that they generate locally.",,48,29,2,14,10,2,1,6,13,0.551724,0.103448,0.344828,0.448276,Agree,Split / disagreement,0.103448,https://kentclarkcenter.org/wp-content/uploads/2020/09/2018-05-30-Euro-EEP-Digital-Sales-Tax.csv,mixed,,Growth/productivity; Industrial policy; Taxation; Fiscal policy; Public finance,source,0.90,0.090000,0.540000,0.230000,0.090000,0.060000,0.630000,0.150000,0.480000,0.150000,Agree,0.206896,Weak consensus,Agree,0.400000,Moderate consensus,no,30.70,47.94,44.07,50.58
europe-ecb-asset-purchases__question-a,europe__ecb-asset-purchases,ECB Asset Purchases,https://kentclarkcenter.org/surveys/ecb-asset-purchases/,Europe,2017-04-25,"Economic Growth, Development, & Productivity; Monetary Policy, Interest Rates, & Inflation",Question A,The ECB's asset purchases over the past two years have reduced the threat of deflation in the euro area as a whole.,,50,38,13,18,6,0,1,2,10,0.815789,0.026316,0.157895,0.789474,Agree,Strong consensus agree,0.026316,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-04-25-Euro-EEP-ECB-Asset-Purchases.csv,mixed,,Growth/productivity; Monetary policy; International economics,mixed,0.80,0.430000,0.450000,0.090000,0.000000,0.030000,0.880000,0.030000,0.850000,0.030000,Agree,0.657894,Strong consensus,Agree,0.790000,Strong consensus,no,70.55,73.50,76.07,77.41
